cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PP;PSdeG-PSOE;BNG;EU-V;UPyD;EQUO;PACMA;PUM+J;P.C.P.E.;C.XXI;UCE;SAIn;PH
15;"A Coruña";27;Coirós;1;1;B;306;259;1;6;160;48;32;9;2;1;0;0;0;0;0;0;0
15;"A Coruña";28;Corcubión;1;1;B;862;669;8;8;256;210;142;29;3;6;1;0;3;2;0;1;0
15;"A Coruña";11;Boiro;1;6;U;713;500;2;8;266;127;73;14;1;3;2;1;2;0;1;0;0
15;"A Coruña";11;Boiro;1;9;U;850;599;8;14;302;149;89;20;5;0;4;4;2;0;0;0;2
15;"A Coruña";12;Boqueixón;1;1;B;411;321;5;4;219;53;34;2;1;1;0;1;0;0;1;0;0
15;"A Coruña";13;Brión;1;1;A;709;431;6;9;261;70;51;15;9;8;1;0;0;1;0;0;0
15;"A Coruña";13;Brión;2;2;B;713;535;18;11;209;162;71;28;18;10;3;1;1;0;0;1;2
15;"A Coruña";14;"Cabana de Bergantiños";1;2;A;887;684;6;7;409;130;99;18;4;3;4;0;1;0;1;0;2
15;"A Coruña";16;Camariñas;1;2;A;585;433;0;5;246;151;23;5;2;0;1;0;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;2;B;764;574;4;5;351;163;40;9;1;1;0;0;0;0;0;0;0
