cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSdeG-PSOE;PP;PODEMOS-EU-;Cs;BNG;VOX;"EN MAREA";PACMA;"RECORTES CE";CxG;PCOE;PCTG;EB;VOU;PUM+J;"C 21"
15;"A Coruña";11;Boiro;3;1;A;603;430;7;10;90;174;70;20;35;11;8;3;0;1;1;0;0;0;0;0
15;"A Coruña";11;Boiro;3;2;A;628;454;2;7;151;88;91;53;20;28;3;8;1;0;2;0;0;0;0;0
15;"A Coruña";12;Boqueixón;1;1;B;397;272;3;2;77;124;27;16;13;4;2;3;1;0;0;0;0;0;0;0
15;"A Coruña";12;Boqueixón;1;2;B;657;487;5;10;119;177;57;48;23;34;4;5;0;4;0;1;0;0;0;0
15;"A Coruña";12;Boqueixón;1;2;C;239;172;3;10;34;80;15;22;3;4;0;0;0;1;0;0;0;0;0;0
15;"A Coruña";12;Boqueixón;1;5;B;221;165;2;8;45;68;16;12;10;3;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";13;Brión;1;1;A;667;445;2;2;105;140;77;49;28;24;12;4;2;0;0;0;0;0;0;0
15;"A Coruña";13;Brión;2;2;B;827;646;7;11;186;97;121;90;65;41;13;8;2;0;2;3;0;0;0;0
15;"A Coruña";13;Brión;3;1;A;927;656;8;12;182;207;76;79;41;32;4;10;2;1;2;0;0;0;0;0
15;"A Coruña";13;Brión;3;1;B;402;283;0;7;75;102;36;26;10;18;0;7;1;0;0;1;0;0;0;0
15;"A Coruña";13;Brión;4;1;C;446;330;5;6;114;101;40;26;17;14;3;3;1;0;0;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";1;1;A;809;577;2;9;158;187;75;71;31;27;8;3;2;1;2;1;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";1;2;A;825;607;10;15;141;219;65;46;69;29;2;8;1;1;1;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;1;A;271;202;3;2;66;77;18;14;9;8;0;5;0;0;0;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;1;B;274;163;3;1;52;68;11;16;5;5;0;1;0;0;1;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;2;A;260;169;0;0;50;63;13;16;21;6;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;2;B;264;188;6;1;45;89;13;13;4;11;2;2;0;1;1;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;3;A;267;196;3;3;76;64;19;14;1;12;0;2;1;0;0;1;0;0;0;0
15;"A Coruña";15;Cabanas;1;2;U;872;668;7;7;186;187;105;68;47;40;9;8;1;2;0;1;0;0;0;0
15;"A Coruña";15;Cabanas;1;3;B;345;264;2;5;90;81;36;14;21;9;3;3;0;0;0;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;2;B;713;498;3;1;185;154;34;47;33;31;3;4;1;0;2;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;5;A;675;477;1;4;165;161;32;38;33;31;2;7;1;0;2;0;0;0;0;0
15;"A Coruña";17;Cambre;1;1;B;516;411;9;6;134;49;74;65;32;29;6;5;0;0;2;0;0;0;0;0
15;"A Coruña";17;Cambre;1;3;A;819;627;7;11;239;75;128;81;25;39;7;8;0;5;1;1;0;0;0;0
15;"A Coruña";17;Cambre;1;3;B;749;562;4;5;193;73;112;70;44;32;4;14;2;2;7;0;0;0;0;0
15;"A Coruña";17;Cambre;1;4;A;918;685;10;7;254;105;125;104;21;41;8;5;0;0;5;0;0;0;0;0
15;"A Coruña";17;Cambre;1;4;B;892;700;8;5;247;123;116;108;20;55;4;9;1;0;3;1;0;0;0;0
15;"A Coruña";17;Cambre;1;6;A;524;394;2;8;135;55;82;47;31;21;1;7;1;1;3;0;0;0;0;0
15;"A Coruña";17;Cambre;1;8;B;614;441;7;9;156;53;78;74;23;23;5;5;1;2;2;3;0;0;0;0
15;"A Coruña";17;Cambre;1;12;U;758;579;3;10;165;116;122;86;35;29;5;6;0;0;2;0;0;0;0;0
15;"A Coruña";17;Cambre;2;2;B;255;189;4;4;63;42;34;23;2;12;2;2;0;0;1;0;0;0;0;0
15;"A Coruña";17;Cambre;2;3;C;602;478;7;4;142;90;73;59;44;46;4;6;1;0;0;2;0;0;0;0
15;"A Coruña";18;"Capela, A";1;1;A;736;523;4;6;238;102;85;18;46;11;6;3;2;1;1;0;0;0;0;0
15;"A Coruña";19;Carballo;1;2;A;560;404;5;7;129;51;65;62;50;28;1;4;0;1;1;0;0;0;0;0
15;"A Coruña";19;Carballo;1;2;B;568;429;8;6;126;47;83;69;49;25;4;8;3;0;1;0;0;0;0;0
15;"A Coruña";19;Carballo;1;3;A;789;588;8;10;188;84;92;83;76;34;3;5;1;0;3;1;0;0;0;0
15;"A Coruña";19;Carballo;1;5;A;645;470;4;4;136;93;70;68;56;29;2;5;0;0;1;2;0;0;0;0
15;"A Coruña";19;Carballo;1;5;B;702;522;6;4;164;100;81;70;63;26;1;3;0;0;2;2;0;0;0;0
15;"A Coruña";19;Carballo;1;8;U;566;333;2;5;119;116;26;20;19;20;3;1;0;0;2;0;0;0;0;0
15;"A Coruña";19;Carballo;1;11;U;518;379;10;7;101;137;34;35;42;6;3;0;1;1;2;0;0;0;0;0
15;"A Coruña";19;Carballo;1;13;A;359;238;2;2;80;67;22;21;28;9;3;2;1;1;0;0;0;0;0;0
15;"A Coruña";19;Carballo;1;15;U;758;575;1;6;198;184;61;50;51;16;1;2;0;1;2;2;0;0;0;0
15;"A Coruña";19;Carballo;1;16;U;630;423;6;4;97;191;25;40;35;17;2;2;1;1;2;0;0;0;0;0
15;"A Coruña";19;Carballo;1;19;U;690;457;9;9;138;163;36;47;35;14;2;1;0;1;2;0;0;0;0;0
15;"A Coruña";19;Carballo;1;21;U;564;374;6;4;160;93;38;24;21;21;1;4;1;0;1;0;0;0;0;0
15;"A Coruña";19;Carballo;1;25;U;813;613;8;8;175;137;84;95;73;25;3;2;1;0;2;0;0;0;0;0
15;"A Coruña";19;Carballo;1;26;B;554;369;7;4;116;59;56;47;58;13;2;4;0;0;3;0;0;0;0;0
15;"A Coruña";19;Carballo;1;27;A;703;500;4;10;165;65;80;62;65;32;0;9;4;0;4;0;0;0;0;0
15;"A Coruña";19;Carballo;1;29;A;793;591;14;14;168;111;91;85;64;25;3;9;1;1;4;1;0;0;0;0
15;"A Coruña";19;Carballo;1;29;B;841;636;17;3;175;125;110;101;57;39;2;5;0;2;0;0;0;0;0;0
15;"A Coruña";20;Carnota;1;1;U;830;570;2;3;162;188;46;48;84;17;6;11;0;1;2;0;0;0;0;0
15;"A Coruña";20;Carnota;1;2;A;728;509;5;5;171;123;49;31;90;17;12;2;1;1;2;0;0;0;0;0
15;"A Coruña";20;Carnota;2;2;B;512;342;1;4;118;103;47;44;13;9;0;2;0;0;1;0;0;0;0;0
15;"A Coruña";21;Carral;1;1;U;937;700;11;18;220;161;112;88;45;29;5;7;0;1;2;1;0;0;0;0
15;"A Coruña";21;Carral;1;2;A;290;219;4;9;85;59;27;10;18;4;2;0;0;0;1;0;0;0;0;0
15;"A Coruña";21;Carral;1;3;A;804;582;10;9;175;128;91;85;40;31;2;6;2;0;2;1;0;0;0;0
15;"A Coruña";21;Carral;2;1;A;389;279;8;3;112;66;33;28;11;12;4;1;0;0;1;0;0;0;0;0
15;"A Coruña";22;Cedeira;1;1;U;592;440;3;10;127;136;78;27;41;10;1;1;0;1;3;2;0;0;0;0
15;"A Coruña";2;Ames;1;1;B;355;252;2;1;71;94;16;29;18;14;2;3;0;1;0;1;0;0;0;0
15;"A Coruña";2;Ames;3;3;A;497;383;3;2;106;85;58;65;25;25;7;5;1;0;1;0;0;0;0;0
15;"A Coruña";2;Ames;3;7;B;637;493;5;8;129;92;102;60;39;25;14;12;0;3;2;2;0;0;0;0
15;"A Coruña";2;Ames;3;8;B;880;682;9;9;214;104;107;113;60;41;7;9;5;0;3;1;0;0;0;0
15;"A Coruña";2;Ames;3;13;B;727;559;6;5;179;99;107;84;28;33;9;7;0;0;2;0;0;0;0;0
15;"A Coruña";4;Ares;1;2;A;741;556;8;11;178;125;81;60;53;32;3;1;0;0;4;0;0;0;0;0
15;"A Coruña";4;Ares;1;3;B;633;459;5;4;139;117;82;53;28;22;2;2;0;2;2;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;6;B;798;548;11;10;171;94;102;80;31;30;2;12;1;2;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;9;B;702;433;9;6;118;89;62;86;22;30;2;7;0;0;2;0;0;0;0;0
